county,state,fips,total_recruits
Los Angeles,CA,6037,635
Dallas,TX,48113,469
Broward,FL,12011,459
Harris,TX,48201,410
Miami-Dade,FL,12086,403
Maricopa,AZ,4013,303
Tarrant,TX,48439,257
Gwinnett,GA,13135,240
Fulton,GA,42057,239
Orange,CA,51137,213
Palm Beach,FL,12099,209
Duval,FL,48131,209
San Diego,CA,6073,195
Cook,IL,27031,190
Hillsborough,FL,33011,184
Riverside,CA,6065,181
Cuyahoga,OH,39035,168
Fort Bend,TX,48157,166
Orange,FL,51137,163
Hamilton,OH,48193,158
Allegheny,PA,42003,157
Wayne,MI,54099,151
Mecklenburg,NC,51117,147
San Bernardino,CA,6071,146
Prince George's,MD,24033,146
Shelby,TN,48419,145
Collin,TX,48085,141
Orleans Parish,LA,22071,134
Salt Lake,UT,49035,131
Cobb,GA,13067,129
Clark,NV,55019,128
Franklin,OH,53021,120
Honolulu,HI,15003,119
Oakland,MI,26125,118
Contra Costa,CA,6013,117
Jefferson,AL,55055,116
Marion,IN,54049,112
District of Columbia,DC,11001,111
King,WA,53033,109
Denton,TX,48121,103
Pinellas,FL,12103,103
Montgomery,MD,51121,99
Bergen,NJ,34003,98
Manatee,FL,12081,97
Montgomery,OH,51121,94
Polk,FL,55095,93
Leon,FL,48289,89
Travis,TX,48453,87
Tulsa,OK,40143,86
Mobile,AL,1097,86
Bexar,TX,48029,84
Sacramento,CA,6067,79
Wake,NC,37183,75
Jackson,MO,55053,74
Oklahoma,OK,40109,72
Fresno,CA,6019,67
East Baton Rouge Parish,LA,22033,67
Lee,FL,51105,63
Jefferson Parish,LA,22051,62
Alameda,CA,6001,61
Middlesex,MA,51119,61
Volusia,FL,12127,59
Summit,OH,49043,59
Brazoria,TX,48039,58
Will,IL,17197,57
Philadelphia,PA,42101,56
Davidson,TN,47037,56
Galveston,TX,48167,55
Butler,OH,42019,52
Santa Clara,CA,6085,51
Ventura,CA,6111,50
Johnson,KS,56019,50
Williamson,TX,48491,50
Hennepin,MN,27053,50
Brevard,FL,12009,49
Jefferson,KY,55055,49
Guilford,NC,37081,48
Pierce,WA,55093,48
Camden,NJ,37029,48
Multnomah,OR,41051,47
Clayton,GA,19043,47
Henry,GA,51089,46
Seminole,FL,40133,46
Fayette,GA,54019,46
Lucas,OH,39095,45
Walton,GA,13297,44
Stark,OH,39151,44
Spartanburg,SC,45083,42
Smith,TX,48423,42
