school_name,link,link_abbr,link_name,name_team_page,mascot
Cincinnati,/teams/page/CINCY/cincinnati-bearcats,CINCY,cincinnati-bearcats,Cincinnati,Bearcats
Connecticut,/teams/page/UCONN/connecticut-huskies,UCONN,connecticut-huskies,Connecticut,Huskies
East Carolina,/teams/page/ECU/east-carolina-pirates,ECU,east-carolina-pirates,East Carolina,Pirates
South Florida,/teams/page/SFLA/south-florida-bulls,SFLA,south-florida-bulls,South Florida,Bulls
Temple,/teams/page/TEMPLE/temple-owls,TEMPLE,temple-owls,Temple,Owls
UCF,/teams/page/UCF/ucf-knights,UCF,ucf-knights,UCF,Knights
Houston,/teams/page/HOU/houston-cougars,HOU,houston-cougars,Houston,Cougars
Memphis,/teams/page/MEMP/memphis-tigers,MEMP,memphis-tigers,Memphis,Tigers
Navy,/teams/page/NAVY/navy-midshipmen,NAVY,navy-midshipmen,Navy,Midshipmen
Southern Methodist,/teams/page/SMU/southern-methodist-mustangs,SMU,southern-methodist-mustangs,SMU,Mustangs
Tulane,/teams/page/TULANE/tulane-green-wave,TULANE,tulane-green-wave,Tulane,Green Wave
Tulsa,/teams/page/TULSA/tulsa-golden-hurricane,TULSA,tulsa-golden-hurricane,Tulsa,Golden Hurricane
Boston College,/teams/page/BC/boston-college-eagles,BC,boston-college-eagles,Boston College,Eagles
Clemson,/teams/page/CLEM/clemson-tigers,CLEM,clemson-tigers,Clemson,Tigers
Florida State,/teams/page/FSU/florida-state-seminoles,FSU,florida-state-seminoles,Florida St.,Seminoles
Louisville,/teams/page/LVILLE/louisville-cardinals,LVILLE,louisville-cardinals,Louisville,Cardinals
NC State,/teams/page/NCST/nc-state-wolfpack,NCST,nc-state-wolfpack,NC State,Wolfpack
Syracuse,/teams/page/CUSE/syracuse-orange,CUSE,syracuse-orange,Syracuse,Orange
Wake Forest,/teams/page/WAKE/wake-forest-demon-deacons,WAKE,wake-forest-demon-deacons,Wake Forest,Demon Deacons
Duke,/teams/page/DUKE/duke-blue-devils,DUKE,duke-blue-devils,Duke,Blue Devils
Georgia Tech,/teams/page/GATECH/georgia-tech-yellow-jackets,GATECH,georgia-tech-yellow-jackets,Georgia Tech,Yellow Jackets
Miami (Fla.),/teams/page/MIAMI/miami-fla-hurricanes,MIAMI,miami-fla-hurricanes,Miami (Fla.),Hurricanes
North Carolina,/teams/page/UNC/north-carolina-tar-heels,UNC,north-carolina-tar-heels,North Carolina,Tar Heels
Pittsburgh,/teams/page/PITT/pittsburgh-panthers,PITT,pittsburgh-panthers,Pittsburgh,Panthers
Virginia,/teams/page/UVA/virginia-cavaliers,UVA,virginia-cavaliers,Virginia,Cavaliers
Virginia Tech,/teams/page/VATECH/virginia-tech-hokies,VATECH,virginia-tech-hokies,Virginia Tech,Hokies
Indiana,/teams/page/IND/indiana-hoosiers,IND,indiana-hoosiers,Indiana,Hoosiers
Maryland,/teams/page/MD/maryland-terrapins,MD,maryland-terrapins,Maryland,Terrapins
Michigan,/teams/page/MICH/michigan-wolverines,MICH,michigan-wolverines,Michigan,Wolverines
Michigan State,/teams/page/MICHST/michigan-state-spartans,MICHST,michigan-state-spartans,Michigan St.,Spartans
Ohio State,/teams/page/OHIOST/ohio-state-buckeyes,OHIOST,ohio-state-buckeyes,Ohio St.,Buckeyes
Penn State,/teams/page/PSU/penn-state-nittany-lions,PSU,penn-state-nittany-lions,Penn St.,Nittany Lions
Rutgers,/teams/page/RUT/rutgers-scarlet-knights,RUT,rutgers-scarlet-knights,Rutgers,Scarlet Knights
Illinois,/teams/page/ILL/illinois-fighting-illini,ILL,illinois-fighting-illini,Illinois,Fighting Illini
Iowa,/teams/page/IOWA/iowa-hawkeyes,IOWA,iowa-hawkeyes,Iowa,Hawkeyes
Minnesota,/teams/page/MINN/minnesota-golden-gophers,MINN,minnesota-golden-gophers,Minnesota,Golden Gophers
Nebraska,/teams/page/NEB/nebraska-cornhuskers,NEB,nebraska-cornhuskers,Nebraska,Cornhuskers
Northwestern,/teams/page/NWEST/northwestern-wildcats,NWEST,northwestern-wildcats,Northwestern,Wildcats
Purdue,/teams/page/PURDUE/purdue-boilermakers,PURDUE,purdue-boilermakers,Purdue,Boilermakers
Wisconsin,/teams/page/WISC/wisconsin-badgers,WISC,wisconsin-badgers,Wisconsin,Badgers
Baylor,/teams/page/BAYLOR/baylor-bears,BAYLOR,baylor-bears,Baylor,Bears
Iowa State,/teams/page/IOWAST/iowa-state-cyclones,IOWAST,iowa-state-cyclones,Iowa St.,Cyclones
Kansas,/teams/page/KANSAS/kansas-jayhawks,KANSAS,kansas-jayhawks,Kansas,Jayhawks
Kansas State,/teams/page/KSTATE/kansas-state-wildcats,KSTATE,kansas-state-wildcats,Kansas St.,Wildcats
Oklahoma,/teams/page/OKLA/oklahoma-sooners,OKLA,oklahoma-sooners,Oklahoma,Sooners
Oklahoma State,/teams/page/OKLAST/oklahoma-state-cowboys,OKLAST,oklahoma-state-cowboys,Oklahoma St.,Cowboys
