school_name,ESPN_id,link,link_name,name_mascot,mascot
Cincinnati,2132,/id/2132/cincinnati-bearcats,cincinnati-bearcats,Cincinnati Bearcats,Bearcats
East Carolina,151,/id/151/east-carolina-pirates,east-carolina-pirates,East Carolina Pirates,Pirates
Houston,248,/id/248/houston-cougars,houston-cougars,Houston Cougars,Cougars
Memphis,235,/id/235/memphis-tigers,memphis-tigers,Memphis Tigers,Tigers
Navy,2426,/id/2426/navy-midshipmen,navy-midshipmen,Navy Midshipmen,Midshipmen
SMU,2567,/id/2567/smu-mustangs,smu-mustangs,SMU Mustangs,Mustangs
USF,58,/id/58/south-florida-bulls,south-florida-bulls,South Florida Bulls,Bulls
Temple,218,/id/218/temple-owls,temple-owls,Temple Owls,Owls
Tulane,2655,/id/2655/tulane-green-wave,tulane-green-wave,Tulane Green Wave,Green Wave
Tulsa,202,/id/202/tulsa-golden-hurricane,tulsa-golden-hurricane,Tulsa Golden Hurricane,Golden Hurricane
UCF,2116,/id/2116/ucf-knights,ucf-knights,UCF Knights,Knights
UConn,41,/id/41/uconn-huskies,uconn-huskies,UConn Huskies,Huskies
Boston College,103,/id/103/boston-college-eagles,boston-college-eagles,Boston College Eagles,Eagles
Clemson,228,/id/228/clemson-tigers,clemson-tigers,Clemson Tigers,Tigers
Duke,150,/id/150/duke-blue-devils,duke-blue-devils,Duke Blue Devils,Blue Devils
Florida State,52,/id/52/florida-state-seminoles,florida-state-seminoles,Florida State Seminoles,Seminoles
Georgia Tech,59,/id/59/georgia-tech-yellow-jackets,georgia-tech-yellow-jackets,Georgia Tech Yellow Jackets,Yellow Jackets
Louisville,97,/id/97/louisville-cardinals,louisville-cardinals,Louisville Cardinals,Cardinals
Miami,2390,/id/2390/miami-hurricanes,miami-hurricanes,Miami Hurricanes,Hurricanes
NC State,152,/id/152/nc-state-wolfpack,nc-state-wolfpack,NC State Wolfpack,Wolfpack
North Carolina,153,/id/153/north-carolina-tar-heels,north-carolina-tar-heels,North Carolina Tar Heels,Tar Heels
Pitt,221,/id/221/pittsburgh-panthers,pittsburgh-panthers,Pittsburgh Panthers,Panthers
Syracuse,183,/id/183/syracuse-orange,syracuse-orange,Syracuse Orange,Orange
Virginia,258,/id/258/virginia-cavaliers,virginia-cavaliers,Virginia Cavaliers,Cavaliers
Virginia Tech,259,/id/259/virginia-tech-hokies,virginia-tech-hokies,Virginia Tech Hokies,Hokies
