school_name,ncaa_id 2018,link,name_mascot,mascot
Air Force,113638,/team/721/12623,Air Force Falcons,Falcons
Akron,113525,/team/5/12623,Akron Zips,Zips
Alabama,113526,/team/8/12623,Alabama Crimson Tide,Crimson Tide
Appalachian St.,113527,/team/27/12623,Appalachian St. Mountaineers,Mountaineers
Arizona,113529,/team/29/12623,Arizona Wildcats,Wildcats
Arizona St.,113528,/team/28/12623,Arizona St. Sun Devils,Sun Devils
Arkansas,113531,/team/31/12623,Arkansas Razorbacks,Razorbacks
Arkansas St.,113530,/team/30/12623,Arkansas St. Red Wolves,Red Wolves
Army West Point,113639,/team/725/12623,Army West Point Black Knights,Black Knights
Auburn,113532,/team/37/12623,Auburn Tigers,Tigers
BYU,113538,/team/77/12623,BYU Cougars,Cougars
Ball St.,113533,/team/47/12623,Ball St. Cardinals,Cardinals
Baylor,113534,/team/51/12623,Baylor Bears,Bears
Boise St.,113535,/team/66/12623,Boise St. Broncos,Broncos
Boston College,113536,/team/67/12623,Boston College Eagles,Eagles
Bowling Green,113537,/team/71/12623,Bowling Green Falcons,Falcons
Buffalo,113539,/team/86/12623,Buffalo Bulls,Bulls
California,113541,/team/107/12623,California Golden Bears,Golden Bears
Central Mich.,113544,/team/129/12623,Central Mich. Chippewas,Chippewas
Charlotte,113590,/team/458/12623,Charlotte 49ers,49ers
Cincinnati,113545,/team/140/12623,Cincinnati Bearcats,Bearcats
Clemson,113546,/team/147/12623,Clemson Tigers,Tigers
Coastal Caro.,113547,/team/149/12623,Coastal Caro. Chanticleers,Chanticleers
Colorado,113549,/team/157/12623,Colorado Buffaloes,Buffaloes
Colorado St.,113548,/team/156/12623,Colorado St. Rams,Rams
Duke,113551,/team/193/12623,Duke Blue Devils,Blue Devils
East Carolina,113552,/team/196/12623,East Carolina Pirates,Pirates
Eastern Mich.,113553,/team/204/12623,Eastern Mich. Eagles,Eagles
FIU,113555,/team/231/12623,FIU Panthers,Panthers
Fla. Atlantic,113554,/team/229/12623,Fla. Atlantic Owls,Owls
Florida,113557,/team/235/12623,Florida Gators,Gators
Florida St.,113556,/team/234/12623,Florida St. Seminoles,Seminoles
Fresno St.,113540,/team/96/12623,Fresno St. Bulldogs,Bulldogs
Ga. Southern,113558,/team/253/12623,Ga. Southern Eagles,Eagles
Georgia,113561,/team/257/12623,Georgia Bulldogs,Bulldogs
Georgia St.,113559,/team/254/12623,Georgia St. Panthers,Panthers
Georgia Tech,113560,/team/255/12623,Georgia Tech Yellow Jackets,Yellow Jackets
Hawaii,113562,/team/277/12623,Hawaii Rainbow Warriors,Rainbow Warriors
Houston,113563,/team/288/12623,Houston Cougars,Cougars
Idaho,113564,/team/295/12623,Idaho Vandals,Vandals
Illinois,113565,/team/301/12623,Illinois Fighting Illini,Fighting Illini
Indiana,113566,/team/306/12623,Indiana Hoosiers,Hoosiers
Iowa,113568,/team/312/12623,Iowa Hawkeyes,Hawkeyes
Iowa St.,113567,/team/311/12623,Iowa St. Cyclones,Cyclones
Kansas,113570,/team/328/12623,Kansas Jayhawks,Jayhawks
Kansas St.,113569,/team/327/12623,Kansas St. Wildcats,Wildcats
Kent St.,113571,/team/331/12623,Kent St. Golden Flashes,Golden Flashes
Kentucky,113572,/team/334/12623,Kentucky Wildcats,Wildcats
LSU,113573,/team/365/12623,LSU Fighting Tigers,Fighting Tigers
La.-Monroe,113598,/team/498/12623,La.-Monroe Warhawks,Warhawks
Liberty,113706,/team/355/12623,Liberty Flames,Flames
Louisiana,113623,/team/671/12623,Louisiana Ragin' Cajuns,Ragin' Cajuns
Louisiana Tech,113574,/team/366/12623,Louisiana Tech Bulldogs,Bulldogs
Louisville,113575,/team/367/12623,Louisville Cardinals,Cardinals
Marshall,113576,/team/388/12623,Marshall Thundering Herd,Thundering Herd
Maryland,113577,/team/392/12623,"Maryland Terrapins, Terps",Terrapins
Massachusetts,113578,/team/400/12623,Massachusetts Minutemen,Minutemen
Memphis,113579,/team/404/12623,Memphis Tigers,Tigers
Miami (FL),113581,/team/415/12623,Miami (FL) Hurricanes,Hurricanes
Miami (OH),113580,/team/414/12623,Miami (OH) RedHawks,RedHawks
Michigan,113583,/team/418/12623,Michigan Wolverines,Wolverines
Michigan St.,113582,/team/416/12623,Michigan St. Spartans,Spartans
