school_name,link
Cincinnati,//cincinnati.rivals.com
Connecticut,//connecticut.rivals.com
East Carolina,//eastcarolina.rivals.com
Houston,//houston.rivals.com
Memphis,//memphis.rivals.com
Navy,//navy.rivals.com
SMU,//smu.rivals.com
Temple,//temple.rivals.com
Tulane,//tulane.rivals.com
Tulsa,//tulsa.rivals.com
UCF,//ucf.rivals.com
USF,//usf.rivals.com
Boston College,//bostoncollege.rivals.com
Clemson,//clemson.rivals.com
Duke,//duke.rivals.com
Florida State,//floridastate.rivals.com
Georgia Tech,//georgiatech.rivals.com
Louisville,//louisville.rivals.com
Miami,//miami.rivals.com
North Carolina,//northcarolina.rivals.com
North Carolina State,//ncstate.rivals.com
Pittsburgh,//pittsburgh.rivals.com
Syracuse,//syracuse.rivals.com
Virginia,//virginia.rivals.com
Virginia Tech,//virginiatech.rivals.com
Wake Forest,//wakeforest.rivals.com
Dayton,//dayton.rivals.com
Duquesne,//duquesne.rivals.com
Richmond,//richmond.rivals.com
Xavier,//xavier.rivals.com
Baylor,//baylor.rivals.com
Iowa State,//iowastate.rivals.com
Kansas,//kansas.rivals.com
Kansas State,//kansasstate.rivals.com
Oklahoma,//oklahoma.rivals.com
Oklahoma State,//oklahomastate.rivals.com
TCU,//tcu.rivals.com
Texas,//texas.rivals.com
Texas Tech,//texastech.rivals.com
West Virginia,//westvirginia.rivals.com
Creighton,//creighton.rivals.com
DePaul,//depaul.rivals.com
Georgetown,//georgetown.rivals.com
Marquette,//marquette.rivals.com
Seton Hall,//setonhall.rivals.com
Villanova,//villanova.rivals.com
Illinois,//illinois.rivals.com
Indiana,//indiana.rivals.com
Iowa,//iowa.rivals.com
Maryland,//maryland.rivals.com
Michigan,//michigan.rivals.com
Michigan State,//michiganstate.rivals.com
Minnesota,//minnesota.rivals.com
Nebraska,//nebraska.rivals.com
Northwestern,//northwestern.rivals.com
Ohio State,//ohiostate.rivals.com
Penn State,//bwi.rivals.com
Purdue,//purdue.rivals.com
Rutgers,//rutgers.rivals.com
Wisconsin,//wisconsin.rivals.com
Charlotte,//charlotte.rivals.com
Florida Atlantic,//fau.rivals.com
Florida International University,//fiu.rivals.com
Louisiana Tech,//latech.rivals.com
Marshall,//marshall.rivals.com
Middle Tennessee,//middletennessee.rivals.com
North Texas,//northtexas.rivals.com
Rice,//rice.rivals.com
Southern Miss,//southernmiss.rivals.com
UAB,//uab.rivals.com
UTEP,//utep.rivals.com
UTSA,//utsa.rivals.com
Western Kentucky,//wku.rivals.com
Army,//army.rivals.com
BYU,//byu.rivals.com
James Madison University,//jamesmadison.rivals.com
Notre Dame,//notredame.rivals.com
JUCO Basketball,//jucojunction.rivals.com
JUCO Football,//jcgridiron.rivals.com
Central Michigan,//centralmichigan.rivals.com
Kent State,//kentstate.rivals.com
Toledo,//toledo.rivals.com
Western Michigan,//westernmichigan.rivals.com
Boise State,//boisestate.rivals.com
Colorado State,//coloradostate.rivals.com
Fresno State,//fresnostate.rivals.com
Nevada,//nevada.rivals.com
New Mexico,//newmexico.rivals.com
UNLV,//unlv.rivals.com
Wyoming,//wyoming.rivals.com
Arizona,//arizona.rivals.com
Arizona State,//arizonastate.rivals.com
California,//cal.rivals.com
Colorado,//colorado.rivals.com
Oregon,//oregon.rivals.com
Oregon State,//oregonstate.rivals.com
Stanford,//stanford.rivals.com
UCLA,//ucla.rivals.com
USC,//usc.rivals.com
Utah,//utah.rivals.com
Washington,//washington.rivals.com
Washington State,//washingtonstate.rivals.com
Alabama,//alabama.rivals.com
Arkansas,//arkansas.rivals.com
Auburn,//auburn.rivals.com
Florida,//florida.rivals.com
Georgia,//uga.rivals.com
Kentucky,//kentucky.rivals.com
LSU,//lsu.rivals.com
Mississippi State,//mississippistate.rivals.com
Missouri,//missouri.rivals.com
Ole Miss,//olemiss.rivals.com
South Carolina,//southcarolina.rivals.com
Tennessee,//tennessee.rivals.com
Vanderbilt,//vanderbilt.rivals.com
Appalachian State,//appalachianstate.rivals.com
Arkansas State,//arkansasstate.rivals.com
Louisiana Monroe,//ulm.rivals.com
New Mexico State,//newmexicostate.rivals.com
Texas State,//texasstate.rivals.com
Troy,//troy.rivals.com
