canonical (sportsref) name,canonical representation,espn name,rep,score,247 name,rep,score,rivals name,score
Clemson,Clemson TigersTigers,Clemson,Clemson TigersTigers,1.0,Clemson,Clemson TigersTigers,1.0,Clemson,1.0
North Carolina State,North Carolina State WolfpackWolfpack,NC State,North Carolina State WolfpackWolfpack,1.0,NC State,North Carolina State WolfpackWolfpack,1.0,North Carolina State,1.0
Louisville,Louisville CardinalsCardinals,Louisville,Louisville CardinalsCardinals,1.0,Louisville,Louisville CardinalsCardinals,1.0,Louisville,1.0
Wake Forest,Wake Forest Demon DeaconsDemon Deacons,Wake Forest,Wake Forest Demon DeaconsDemon Deacons,1.0,Wake Forest,Wake Forest Demon DeaconsDemon Deacons,1.0,Wake Forest,1.0
Boston College,Boston College EaglesEagles,Boston College,Boston College EaglesEagles,1.0,Boston College,Boston College EaglesEagles,1.0,Boston College,1.0
Florida State,Florida State SeminolesSeminoles,Florida State,Florida State SeminolesSeminoles,1.0,Florida State,Florida State SeminolesSeminoles,1.0,Florida State,1.0
Syracuse,Syracuse OrangeOrange,Syracuse,Syracuse OrangeOrange,1.0,Syracuse,Syracuse OrangeOrange,1.0,Syracuse,1.0
Virginia Tech,Virginia Tech HokiesHokies,Virginia Tech,Virginia Tech HokiesHokies,1.0,Virginia Tech,Virginia Tech HokiesHokies,1.0,Virginia Tech,1.0
Georgia Tech,Georgia Tech Yellow JacketsYellow Jackets,Georgia Tech,Georgia Tech Yellow JacketsYellow Jackets,1.0,Georgia Tech,Georgia Tech Yellow JacketsYellow Jackets,1.0,Georgia Tech,1.0
Duke,Duke Blue DevilsBlue Devils,Duke,Duke Blue DevilsBlue Devils,1.0,Duke,Duke Blue DevilsBlue Devils,1.0,Duke,1.0
Virginia,Virginia CavaliersCavaliers,Virginia,Virginia CavaliersCavaliers,1.0,Virginia,Virginia CavaliersCavaliers,1.0,Virginia,1.0
North Carolina,North Carolina Tar HeelsTar Heels,North Carolina,North Carolina Tar HeelsTar Heels,1.0,North Carolina,North Carolina Tar HeelsTar Heels,1.0,North Carolina,1.0
UCF,UCF KnightsKnights,UCF,UCF KnightsKnights,1.0,UCF,UCF KnightsKnights,1.0,UCF,1.0
Temple,Temple OwlsOwls,Temple,Temple OwlsOwls,1.0,Temple,Temple OwlsOwls,1.0,Temple,1.0
Cincinnati,Cincinnati BearcatsBearcats,Cincinnati,Cincinnati BearcatsBearcats,1.0,Cincinnati,Cincinnati BearcatsBearcats,1.0,Cincinnati,1.0
East Carolina,East Carolina PiratesPirates,East Carolina,East Carolina PiratesPirates,1.0,East Carolina,East Carolina PiratesPirates,1.0,East Carolina,1.0
Memphis,Memphis TigersTigers,Memphis,Memphis TigersTigers,1.0,Memphis,Memphis TigersTigers,1.0,Memphis,1.0
Houston,Houston CougarsCougars,Houston,Houston CougarsCougars,1.0,Houston,Houston CougarsCougars,1.0,Houston,1.0
Navy,Navy MidshipmenMidshipmen,Navy,Navy MidshipmenMidshipmen,1.0,Navy,Navy MidshipmenMidshipmen,1.0,Navy,1.0
Tulane,Tulane Green WaveGreen Wave,Tulane,Tulane Green WaveGreen Wave,1.0,Tulane,Tulane Green WaveGreen Wave,1.0,Tulane,1.0
Tulsa,Tulsa Golden HurricaneGolden Hurricane,Tulsa,Tulsa Golden HurricaneGolden Hurricane,1.0,Tulsa,Tulsa Golden HurricaneGolden Hurricane,1.0,Tulsa,1.0
Oklahoma,Oklahoma SoonersSooners,Oklahoma,Oklahoma SoonersSooners,1.0,Oklahoma,Oklahoma SoonersSooners,1.0,Oklahoma,1.0
Oklahoma State,Oklahoma State CowboysCowboys,Oklahoma State,Oklahoma State CowboysCowboys,1.0,Oklahoma State,Oklahoma State CowboysCowboys,1.0,Oklahoma State,1.0
Iowa State,Iowa State CyclonesCyclones,Iowa State,Iowa State CyclonesCyclones,1.0,Iowa State,Iowa State CyclonesCyclones,1.0,Iowa State,1.0
Kansas State,Kansas State WildcatsWildcats,Kansas State,Kansas State WildcatsWildcats,1.0,Kansas State,Kansas State WildcatsWildcats,1.0,Kansas State,1.0
Texas,Texas LonghornsLonghorns,Texas,Texas LonghornsLonghorns,1.0,Texas,Texas LonghornsLonghorns,1.0,Texas,1.0
West Virginia,West Virginia MountaineersMountaineers,West Virginia,West Virginia MountaineersMountaineers,1.0,West Virginia,West Virginia MountaineersMountaineers,1.0,West Virginia,1.0
Texas Tech,Texas Tech Red RaidersRed Raiders,Texas Tech,Texas Tech Red RaidersRed Raiders,1.0,Texas Tech,Texas Tech Red RaidersRed Raiders,1.0,Texas Tech,1.0
Baylor,Baylor BearsBears,Baylor,Baylor BearsBears,1.0,Baylor,Baylor BearsBears,1.0,Baylor,1.0
Kansas,Kansas JayhawksJayhawks,Kansas,Kansas JayhawksJayhawks,1.0,Kansas,Kansas JayhawksJayhawks,1.0,Kansas,1.0
Ohio State,Ohio State BuckeyesBuckeyes,Ohio State,Ohio State BuckeyesBuckeyes,1.0,Ohio State,Ohio State BuckeyesBuckeyes,1.0,Ohio State,1.0
Penn State,Penn State Nittany LionsNittany Lions,Penn State,Penn State Nittany LionsNittany Lions,1.0,Penn State,Penn State Nittany LionsNittany Lions,1.0,Penn State,1.0
Michigan State,Michigan State SpartansSpartans,Michigan State,Michigan State SpartansSpartans,1.0,Michigan State,Michigan State SpartansSpartans,1.0,Michigan State,1.0
Michigan,Michigan WolverinesWolverines,Michigan,Michigan WolverinesWolverines,1.0,Michigan,Michigan WolverinesWolverines,1.0,Michigan,1.0
Rutgers,Rutgers Scarlet KnightsScarlet Knights,Rutgers,Rutgers Scarlet KnightsScarlet Knights,1.0,Rutgers,Rutgers Scarlet KnightsScarlet Knights,1.0,Rutgers,1.0
Indiana,Indiana HoosiersHoosiers,Indiana,Indiana HoosiersHoosiers,1.0,Indiana,Indiana HoosiersHoosiers,1.0,Indiana,1.0
Maryland,Maryland TerrapinsTerrapins,Maryland,Maryland TerrapinsTerrapins,1.0,Maryland,Maryland TerrapinsTerrapins,1.0,Maryland,1.0
Wisconsin,Wisconsin BadgersBadgers,Wisconsin,Wisconsin BadgersBadgers,1.0,Wisconsin,Wisconsin BadgersBadgers,1.0,Wisconsin,1.0
Northwestern,Northwestern WildcatsWildcats,Northwestern,Northwestern WildcatsWildcats,1.0,Northwestern,Northwestern WildcatsWildcats,1.0,Northwestern,1.0
Iowa,Iowa HawkeyesHawkeyes,Iowa,Iowa HawkeyesHawkeyes,1.0,Iowa,Iowa HawkeyesHawkeyes,1.0,Iowa,1.0
Purdue,Purdue BoilermakersBoilermakers,Purdue,Purdue BoilermakersBoilermakers,1.0,Purdue,Purdue BoilermakersBoilermakers,1.0,Purdue,1.0
Nebraska,Nebraska CornhuskersCornhuskers,Nebraska,Nebraska CornhuskersCornhuskers,1.0,Nebraska,Nebraska CornhuskersCornhuskers,1.0,Nebraska,1.0
Minnesota,Minnesota Golden GophersGolden Gophers,Minnesota,Minnesota Golden GophersGolden Gophers,1.0,Minnesota,Minnesota Golden GophersGolden Gophers,1.0,Minnesota,1.0
