school_name,link,link_name,name_mascot,mascot
Clemson,/cfb/schools/clemson/2017.html,clemson,Clemson Tigers,Tigers
North Carolina State,/cfb/schools/north-carolina-state/2017.html,north-carolina-state,North Carolina State Wolfpack,Wolfpack
Louisville,/cfb/schools/louisville/2017.html,louisville,Louisville Cardinals,Cardinals
Wake Forest,/cfb/schools/wake-forest/2017.html,wake-forest,Wake Forest Demon Deacons,Demon Deacons
Boston College,/cfb/schools/boston-college/2017.html,boston-college,Boston College Eagles,Eagles
Florida State,/cfb/schools/florida-state/2017.html,florida-state,Florida State Seminoles,Seminoles
Syracuse,/cfb/schools/syracuse/2017.html,syracuse,Syracuse Orange,Orange
Miami (FL),/cfb/schools/miami-fl/2017.html,miami-fl,Miami (FL) Hurricanes,Hurricanes
Virginia Tech,/cfb/schools/virginia-tech/2017.html,virginia-tech,Virginia Tech Hokies,Hokies
Georgia Tech,/cfb/schools/georgia-tech/2017.html,georgia-tech,Georgia Tech Yellow Jackets,Yellow Jackets
Duke,/cfb/schools/duke/2017.html,duke,Duke Blue Devils,Blue Devils
Pitt,/cfb/schools/pittsburgh/2017.html,pittsburgh,Pitt Panthers,Panthers
Virginia,/cfb/schools/virginia/2017.html,virginia,Virginia Cavaliers,Cavaliers
North Carolina,/cfb/schools/north-carolina/2017.html,north-carolina,North Carolina Tar Heels,Tar Heels
UCF,/cfb/schools/central-florida/2017.html,central-florida,UCF Knights,Knights
South Florida,/cfb/schools/south-florida/2017.html,south-florida,South Florida Bulls,Bulls
Temple,/cfb/schools/temple/2017.html,temple,Temple Owls,Owls
Cincinnati,/cfb/schools/cincinnati/2017.html,cincinnati,Cincinnati Bearcats,Bearcats
Connecticut,/cfb/schools/connecticut/2017.html,connecticut,Connecticut Huskies,Huskies
East Carolina,/cfb/schools/east-carolina/2017.html,east-carolina,East Carolina Pirates,Pirates
Memphis,/cfb/schools/memphis/2017.html,memphis,Memphis Tigers,Tigers
Houston,/cfb/schools/houston/2017.html,houston,Houston Cougars,Cougars
Navy,/cfb/schools/navy/2017.html,navy,Navy Midshipmen,Midshipmen
SMU,/cfb/schools/southern-methodist/2017.html,southern-methodist,SMU Mustangs,Mustangs
Tulane,/cfb/schools/tulane/2017.html,tulane,Tulane Green Wave,Green Wave
Tulsa,/cfb/schools/tulsa/2017.html,tulsa,Tulsa Golden Hurricane,Golden Hurricane
Oklahoma,/cfb/schools/oklahoma/2017.html,oklahoma,Oklahoma Sooners,Sooners
Texas Christian,/cfb/schools/texas-christian/2017.html,texas-christian,Texas Christian Horned Frogs,Horned Frogs
Oklahoma State,/cfb/schools/oklahoma-state/2017.html,oklahoma-state,Oklahoma State Cowboys,Cowboys
Iowa State,/cfb/schools/iowa-state/2017.html,iowa-state,Iowa State Cyclones,Cyclones
Kansas State,/cfb/schools/kansas-state/2017.html,kansas-state,Kansas State Wildcats,Wildcats
Texas,/cfb/schools/texas/2017.html,texas,Texas Longhorns,Longhorns
West Virginia,/cfb/schools/west-virginia/2017.html,west-virginia,West Virginia Mountaineers,Mountaineers
